about_me,label,contact details
A︇︆︈l︇︆︈l︇︆︈ ︇︆︈m︇︆︈y︇︆︈ ︇︆︈s︇︆︈e︇︆︈x︇︆︈y︇︆︈ ︇︆︈p︇︆︈h︇︆︈o︇︆︈t︇︆︈o︇︆︈s︇︆︈ ︇︆︈a︇︆︈n︇︆︈d︇︆︈ ︇︆︈v︇︆︈i︇︆︈d︇︆︈e︇︆︈o︇︆︈s︇︆︈ ︇︆︈,1,1
"solo busco que me traten como una princesa y me vuelvan más caprichosa de lo que soy, busco un papi bueno que me cumpla los caprichos 💋.rn mi Instagram lun4aa.22",1,1
buenas tardes yo busco conocer personas yo quiero alguien que me entienda y queme allude en los económico porque soy una persona muy pobre pero tampoco soy interesada no me gusta pedirle a nadie y tampoco Nome gusta mentirle Ami pareja,1,0
Tex бO78OѲ4らч8,1,1
"soy madre soltera tengo un hijo de 13 años, soy auxiliar de enfermería, hogareña, romántica, fiel, honesta, busco amistad sincera y transparente inicialmente me gustaría encontrar una persona que me ayude económicamente y si nos entendemos, me gustaría tener una relación seria",1,0
Мне 16 если хочешь познакомиться пиши мне в Инстаграм _apathy_._,1,1
"bin für ein Sextreffen zu haben, wenn du Interesse hast und zeig mein Video",1,0
me gustan los hombre mayores y si es posible que me ayude economicamente estoy dispuesta a todo,1,0
Ꮥር.emilyqed,1,1
"люблю музику і малювати пхпх, можливо не виглядаю на свій вік. Шукаю хлопця який буде забезпечувати як мінімум💕",1,0
"amo a mi familia, mis amigas y el amor sincero. ( ¹¹⁵⁷⁴⁶³¹²⁷ )",1,1
"💋💋💋I am Angelina by name ... I'm new to this this online things and this is the first time I'm looking for a Life partner online. I might not be available to reply to your message cos am not a full paid member, so if you are interested and care to communicate, Just Message On My E m a i l Sarahhicks 2 0 1 0 1 at gee mail dot cum I’m real and serious about this ...Am online now..Thank You. ?",1,1
"Soy muy divertida , sales only🍑rnC0ntenido $",1,1
Ig frankimeyyrnalguien que me consienta,1,1
